AAPL,AAPL,1.00000000
AAPL,XOM,0.16510043
AAPL,LOW,0.16467987
AAPL,GS,0.16377134
AAPL,C,0.00326933
XOM,AAPL,0.16510043
XOM,XOM,1.00000000
XOM,LOW,0.11155061
XOM,GS,0.11237576
XOM,C,-0.00009006
LOW,AAPL,0.16467987
LOW,XOM,0.11155061
LOW,LOW,1.00000000
LOW,GS,0.09969912
LOW,C,0.00042755
GS,AAPL,0.16377134
GS,XOM,0.11237576
GS,LOW,0.09969912
GS,GS,1.00000000
GS,C,0.01123575
C,AAPL,0.00326933
C,XOM,-0.00009006
C,LOW,0.00042755
C,GS,0.01123575
C,C,1.00000000
